Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
10585,39571,Cinq ans qui ont ,ruiné, et la Russie et les Républiques de l'ex-URSS.,5.0,ruiné,ruiner,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,2.0,acl:relcl,2:acl:relcl,_,1.0
33541,126423,"Au bout d'un an, le groupe, ",ruiné," - ils en étaient alors réduits à vivre à cinq dans la même chambre d'un motel -, décide de tenter sa chance à Detroit, qui semble alors une ville plus accueillante que Los Angeles pour le rock.",10.0,ruiné,ruiner,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,8.0,acl,8:acl,_,1.0
147582,556891,Le chef de l'Etat vise un sixième mandat dans ce pays économiquement ,ruiné, qu'il dirige depuis l'indépendance en 1980.,14.0,ruiné,ruiner,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,acl,12:acl,_,1.0
191040,720813,"À la fin de la guerre du Pacifique, qui éclate en 1879, le Pérou se retrouve amputé, ",ruiné,", humilié ; la Bolivie perd son accès à l'océan et les richesses du désert d'Atacama.",21.0,ruiné,ruiner,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,19.0,conj,19:conj,SpaceAfter=No,2.0
216234,815266,"La lutte est aussi ouverte contre la Pologne, la Roumanie, la Hongrie et l'Espagne nationale, pour sauver les Juifs de la réaction des populations autochtones, ",ruinées," et bafouées, qui partout cherchent à se libérer de l'ignoble domination juive.",31.0,ruinées,ruiner,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,28.0,acl,28:acl,_,1.0
