Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
38420,144637,Cette quantité est limitée; on peut en ,digérer," davantage, mais alors ces protéines serviront de source d'énergie et pourront être stockées sous forme de glycogène ou de graisse, en cas de bilan énergétique excédentaire.",9.0,digérer,digérer,VERB,VERB,VerbForm=Inf,7.0,xcomp,7:xcomp,_,1.0
49435,186378,La fonction de satiété est la suivante : où VproieX1 présente le volume des proies non ,digérées, et Vestomac le volume de l'estomac du copépode.,17.0,digérées,digérer,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,15.0,acl,15:acl,_,1.0
84614,318080,Le fâcheux épisode de Twickenham vite ,digéré,", elle a su se reprendre superbement dans le dernier match contre l'Ecosse, décisif pour l'attribution du trophée.",7.0,digéré,digérer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,11.0,advcl,11:advcl,SpaceAfter=No,1.0
87667,329924,Il aurait pu ajouter que la défaite est encore plus difficile à ,digérer, parce qu'elle a été encaissée contre leurs sempiternels rivaux.,13.0,digérer,digérer,VERB,VERB,VerbForm=Inf,11.0,xcomp,11:xcomp,_,2.0
134467,507882,"Nommez le genre, Beck l'a déjà absorbé, ",digéré,", transformé, régurgité.",11.0,digéré,digérer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,conj,9:conj,SpaceAfter=No,1.0
180609,681508,"L'ancien entraîneur de Lens Jean-Pierre Papin, remercié après la relégation du club en Ligue 2, déclare avoir """"du mal à ",digérer, son éviction.,25.0,digérer,digérer,VERB,VERB,VerbForm=Inf,23.0,xcomp,23:xcomp,SpaceAfter=No,1.0
238530,899043,Le petit soupçon de déception ,digéré,", le coéquipier de Loeb manifestait sa joie teintée de soulagement : «J'avais beaucoup de pression sur moi car il fallait absolument que je termine la course C'est un super week-end pour nous et pour l'équipe.",6.0,digéré,digérer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,advcl,12:advcl,SpaceAfter=No,1.0
250970,945603,Une foule de naïvetés et de données mal ,digérées,", de critiques vaines ont été également véhiculées dans le livre de Michael Denton (L'évolution, une théorie en crise, Flammarion) que nous n'avons pas la place de reprendre ici.",9.0,digérées,digérer,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,1.0
