Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
8558,31918,"Cet objet réalisé en argent fondu, ",repoussé, et ciselé a probablement connu la main du ciseleur – ornemaniste Désiré Attarge (1820-1878) au service de Barbedienne depuis 1855 et très apprécié de Sévin.,8.0,repoussé,repousser,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,6.0,conj,6:conj,_,1.0
42981,161990,On va avoir un adversaire difficile samedi à Toulouse mais on va essayer de ,repousser, à plus tard la défaite.,15.0,repousser,repousser,VERB,VERB,VerbForm=Inf,13.0,xcomp,13:xcomp,_,1.0
251305,946723,Mais les frontières une fois ,repoussées," plus loin, l'importance stratégique de Corbie fut contestée, le gouvernement militaire fut rattaché à Amiens, la garnison partie en 1675, et de 1669 à 1675[11] les remparts du XVIème siècle furent démolis.",6.0,repoussées,repousser,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,16.0,advcl,16:advcl,_,2.0
