Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
4437,16541,En prenant comme référence le nombre de personnes effectivement ,reconduites,", et le total des fonds publics affectés à cette politique.",10.0,reconduites,reconduire,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,8.0,acl,8:acl,SpaceAfter=No,1.0
37351,140528,Un procédé que le conseil s'est empressé de ,reconduire," pour le suivi de certains dossiers, tel que le projet Wilsdorf, piloté désormais conjointement par Manuel Tornare (PS), Rémy Pagani et Pierre Maudet.",10.0,reconduire,reconduire,VERB,VERB,VerbForm=Inf,8.0,xcomp,8:xcomp,_,1.0
51254,193319,Les actions sont ajustées suivies dans leurs évaluations et ,reconduites, si les résultats sont satisfaisants.,10.0,reconduites,reconduire,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,5.0,conj,5:conj,_,1.0
262301,988793,"Pour le reste, l'incertitude prévaut, tant sur le système (Raymond Domenech ",reconduira,-t-il le 4-2-3-1?),16.0,reconduira,reconduire,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin,7.0,parataxis,7:parataxis,SpaceAfter=No,2.0
264429,996748,Commencé en juin 1996 et régulièrement ,reconduit," depuis, ce projet consiste à former des femmes leaders de groupes à divers messages de santé et à quelques techniques de communication.",7.0,reconduit,reconduire,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,1.0,conj,1:conj,_,1.0
