Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
123190,465548,"Parmi quelque 4000 autres mises au jour, ",répertoriées,", photographiées, documentées.",9.0,répertoriées,répertorier,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,5.0,acl,5:acl,SpaceAfter=No,3.0
150652,568506,Son livre Phycologia Britannica liste des espèces ,répertoriées, et recueillies à différents endroits des îles Britanniques.,8.0,répertoriées,répertorier,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,7.0,acl,7:acl,_,1.0
155247,585554,Les facteurs allergènes sont dûment indentifiés et ,répertoriés,", car le but est également de dresser une liste des différents composants allergiques.",8.0,répertoriés,répertorier,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,6.0,conj,6:conj,SpaceAfter=No,1.0
161897,610551,"L'obésité, mal du nouveau siècleLa plus grande épidémie non virale jamais ",répertoriée, affecte désormais 300 millions de personnes dans le monde.,14.0,répertoriée,répertorier,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,10.0,acl,10:acl,_,1.0
208388,786106,"Bien que ceux-ci ne puissent être réconciliés dans chaque détail, il est désormais généralement reconnu que le premier objectif du recensement était de garantir et ",répertorier, les droits fiscaux du roi.,29.0,répertorier,répertorier,VERB,VERB,VerbForm=Inf,27.0,conj,27:conj,_,1.0
