Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
63640,240117,Le remplacement des livres perdus ou ,détériorés, sera à la charge des parents.,7.0,détériorés,détériorer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,5.0,conj,5:conj,_,1.0
76665,288591,Les perspectives de croissance mondiale se sont ,détériorées, et les perturbations sur les marchés financiers ont continué.,8.0,détériorées,détériorer,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
108368,409019,La calamiteuse gestion de l'affaire Pilatus a contribué à salir et ,détériorer, durablement l'image de la Suisse dans le monde.,13.0,détériorer,détériorer,VERB,VERB,VerbForm=Inf,11.0,conj,11:conj,_,1.0
129729,489687,Une telle étude diminue le budget du service en évitant notamment les prises de vue refaites pour cause d'images égarées ou ,détériorées,", les duplicata qui rassurent et les pertes de temps inutiles.",23.0,détériorées,détériorer,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,21.0,conj,21:conj,SpaceAfter=No,2.0
155163,585239,La consommation et les investissements se sont ,détériorées, davantage parce que les gens se posent beaucoup de questions sur l'avenir.,8.0,détériorées,détériorer,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
174865,659539,"Le ministre réagissait aujourd'hui au palmarès des salles d'urgence du Québec, qui indiquait que globalement la situation avait stagné ou s'était ",détériorée, depuis un an.,25.0,détériorée,détériorer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,21.0,conj,21:conj,_,1.0
197606,745530,La situation s'est ,détériorée, et a mis l'usine dans une position devenue irréversible.,5.0,détériorée,détériorer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
212364,800836,L'ambiance s'est ,détériorée, et Pépin n'a pas été en mesure de maintenir une ambiance saine au sein du groupe.,5.0,détériorée,détériorer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
232714,877292,C'est à cause de lui que la situation économique s'est ,détériorée," et que les attentats ont augmenté.""""",13.0,détériorée,détériorer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,4.0,dep,4:dep,_,3.0
