Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
15637,58355,Le monastère est particulièrement protégé et se munit d'enceintes de plus en plus ,fortifiées, afin d'éviter le brigandage et d'assurer un isolement total face au monde environnant.,15.0,fortifiées,fortifier,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,10.0,acl,10:acl,_,1.0
16484,61574,L'art de ,fortifier, va donc consister à donner à ces derniers le maximum d'avantages dans la lutte.,4.0,fortifier,fortifier,VERB,VERB,VerbForm=Inf,2.0,acl,2:acl,_,1.0
155715,587296,"Le Château Saint-Ange fut lui aussi attaqué, à quatre reprises, mais, encore mieux ",fortifié," que la ville, il résista[68].",17.0,fortifié,fortifier,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,23.0,advcl,23:advcl,_,1.0
155948,588174,"Dans un rêve, elle sentit une main se poser sur son épaule et une voix lui dire : """" ",fortifie,"-toi et prends courage """".",21.0,fortifie,fortifier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,18.0,advcl,18:advcl,SpaceAfter=No,2.0
222072,837322,Plus beau et mieux ,fortifié,", le deuxième château est composé d'un bâtiment principal, doté sur les côtes extérieurs de quatre tours de protection en demi-cercle.",5.0,fortifié,fortifier,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,2.0,conj,2:conj,SpaceAfter=No,1.0
254110,957445,Les Allemands occupaient une zone puissamment ,fortifiée,", avec des mitrailleuses sous abri et un excellent réseau souterrain communiquant avec la ligne de crête.",7.0,fortifiée,fortifier,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,5.0,acl,5:acl,SpaceAfter=No,1.0
